SIGLA_UF;CD_UF;CD_MUN;NM_MUN;NM_RGINT;regiao_saude
PA;15;1501782;Breu Branco;Marabá;Região Lago Tucuruí
PA;15;1501758;Brejo Grande do Araguaia;Marabá;Região Carajás
PA;15;1500404;Alenquer;Santarém;Região Baixo Amazonas
PA;15;1505205;Oeiras do Pará;Belém;Região Tocantins
PA;15;1507003;Santo Antônio do Tauá;Belém;Região Guamá
PA;15;1508100;Tucuruí;Marabá;Região Lago Tucuruí
PA;15;1502202;Capanema;Castanhal;Região Rio Caeté
PA;15;1508126;Ulianópolis;Castanhal;Região Rio Capim
PA;15;1504802;Monte Alegre;Santarém;Região Baixo Amazonas
PA;15;1503507;Irituia;Castanhal;Região Rio Capim
PA;15;1508159;Uruará;Altamira;Região Xingu
PA;15;1507904;Soure;Breves;Região Marajó
PA;15;1507953;Tailândia;Belém;Região Tocantins
PA;15;1506609;Santa Maria do Pará;Castanhal;Região Guamá
PA;15;1507961;Terra Alta;Castanhal;Região Guamá
PA;15;1505304;Oriximiná;Santarém;Região Baixo Amazonas
PA;15;1502707;Conceição do Araguaia;Redenção;Região Araguaia
PA;15;1504000;Limoeiro do Ajuru;Belém;Região Tocantins
PA;15;1507979;Terra Santa;Santarém;Região Baixo Amazonas
PA;15;1506203;Salinópolis;Castanhal;Região Rio Caeté
PA;15;1500958;Aurora do Pará;Castanhal;Região Rio Capim
PA;15;1501402;Belém;Belém;Região Metropolitana
PA;15;1502756;Concórdia do Pará;Belém;Região Rio Capim
PA;15;1501451;Belterra;Santarém;Região Baixo Amazonas
PA;15;1502764;Cumaru do Norte;Redenção;Região Araguaia
PA;15;1502772;Curionópolis;Marabá;Região Carajás
PA;15;1500131;Abel Figueiredo;Marabá;Região Rio Capim
PA;15;1500107;Abaetetuba;Belém;Região Tocantins
PA;15;1505809;Portel;Breves;Região Marajó
PA;15;1503200;Igarapé-Açu;Castanhal;Região Guamá
PA;15;1504505;Melgaço;Breves;Região Marajó
PA;15;1507607;São Miguel do Guamá;Castanhal;Região Guamá
PA;15;1506302;Salvaterra;Breves;Região Marajó
PA;15;1506351;Santa Bárbara do Pará;Belém;Região Metropolitana
PA;15;1501501;Benevides;Belém;Região Metropolitana
PA;15;1502806;Curralinho;Breves;Região Marajó
PA;15;1501576;Bom Jesus do Tocantins;Marabá;Região Carajás
PA;15;1505031;Novo Progresso;Santarém;Região Tapajós
PA;15;1502855;Curuá;Santarém;Região Baixo Amazonas
PA;15;1500206;Acará;Belém;Região Tocantins
PA;15;1505007;Nova Timboteua;Castanhal;Região Rio Caeté
PA;15;1505064;Novo Repartimento;Marabá;Região Lago Tucuruí
PA;15;1505908;Porto de Moz;Altamira;Região Xingu
PA;15;1502004;Cachoeira do Arari;Breves;Região Marajó
PA;15;1504604;Mocajuba;Belém;Região Tocantins
PA;15;1503309;Igarapé-Miri;Belém;Região Tocantins
PA;15;1507706;São Sebastião da Boa Vista;Breves;Região Marajó
PA;15;1506401;Santa Cruz do Arari;Breves;Região Marajó
PA;15;1507755;Sapucaia;Redenção;Região Araguaia
PA;15;1500701;Anajás;Breves;Região Marajó
PA;15;1505106;Óbidos;Santarém;Região Baixo Amazonas
PA;15;1502509;Chaves;Breves;Região Marajó
PA;15;1506005;Prainha;Santarém;Região Baixo Amazonas
PA;15;1508407;Xinguara;Redenção;Região Araguaia
PA;15;1501204;Baião;Marabá;Região Tocantins
PA;15;1501253;Bannach;Redenção;Região Araguaia
PA;15;1503804;Jacundá;Marabá;Região Lago Tucuruí
PA;15;1506906;Santarém Novo;Castanhal;Região Rio Caeté
PA;15;1503002;Faro;Santarém;Região Baixo Amazonas
PA;15;1503044;Floresta do Araguaia;Redenção;Região Araguaia
PA;15;1503077;Garrafão do Norte;Castanhal;Região Rio Capim
PA;15;1503093;Goianésia do Pará;Marabá;Região Lago Tucuruí
PA;15;1500800;Ananindeua;Belém;Região Metropolitana
PA;15;1505601;Peixe-Boi;Castanhal;Região Rio Caeté
PA;15;1505650;Placas;Santarém;Região Xingu
PA;15;1504307;Maracanã;Castanhal;Região Guamá
PA;15;1507409;São Francisco do Pará;Castanhal;Região Guamá
PA;15;1506104;Primavera;Castanhal;Região Rio Caeté
PA;15;1506112;Quatipuru;Castanhal;Região Rio Caeté
PA;15;1500859;Anapu;Altamira;Região Xingu
PA;15;1501303;Barcarena;Belém;Região Tocantins
PA;15;1506161;Rio Maria;Redenção;Região Araguaia
PA;15;1502608;Colares;Belém;Região Guamá
PA;15;1506138;Redenção;Redenção;Região Araguaia
PA;15;1506195;Rurópolis;Santarém;Região Tapajós
PA;15;1507458;São Geraldo do Araguaia;Marabá;Região Carajás
PA;15;1507474;São João de Pirabas;Castanhal;Região Rio Caeté
PA;15;1507466;São João da Ponta;Castanhal;Região Guamá
PA;15;1506187;Rondon do Pará;Marabá;Região Rio Capim
PA;15;1503903;Juruti;Santarém;Região Baixo Amazonas
PA;15;1503101;Gurupá;Breves;Região Marajó
PA;15;1505700;Ponta de Pedras;Breves;Região Marajó
PA;15;1504406;Marapanim;Castanhal;Região Guamá
PA;15;1501808;Breves;Breves;Região Marajó
PA;15;1504455;Medicilândia;Altamira;Região Xingu
PA;15;1504422;Marituba;Belém;Região Metropolitana
PA;15;1507508;São João do Araguaia;Marabá;Região Carajás
PA;15;1504059;Mãe do Rio;Castanhal;Região Rio Capim
PA;15;1502301;Capitão Poço;Castanhal;Região Rio Capim
PA;15;1507102;São Caetano de Odivelas;Belém;Região Guamá
PA;15;1507151;São Domingos do Araguaia;Marabá;Região Carajás
PA;15;1508209;Vigia;Belém;Região Guamá
PA;15;1501006;Aveiro;Santarém;Região Tapajós
PA;15;1503606;Itaituba;Santarém;Região Tapajós
PA;15;1504901;Muaná;Breves;Região Marajó
PA;15;1506708;Santana do Araguaia;Redenção;Região Araguaia
PA;15;1504976;Nova Ipixuna;Marabá;Região Lago Tucuruí
PA;15;1501907;Bujaru;Belém;Região Rio Capim
PA;15;1504950;Nova Esperança do Piriá;Castanhal;Região Rio Capim
PA;15;1501956;Cachoeira do Piriá;Castanhal;Região Rio Caeté
PA;15;1500602;Altamira;Altamira;Região Xingu
PA;15;1505403;Ourém;Castanhal;Região Rio Capim
PA;15;1504109;Magalhães Barata;Castanhal;Região Guamá
PA;15;1507201;São Domingos do Capim;Castanhal;Região Guamá
PA;15;1505437;Ourilândia do Norte;Redenção;Região Araguaia
PA;15;1501105;Bagre;Breves;Região Marajó
PA;15;1505494;Palestina do Pará;Marabá;Região Carajás
PA;15;1505486;Pacajá;Marabá;Região Xingu
PA;15;1502400;Castanhal;Castanhal;Região Guamá
PA;15;1508308;Viseu;Castanhal;Região Rio Caeté
PA;15;1503705;Itupiranga;Marabá;Região Lago Tucuruí
PA;15;1503754;Jacareacanga;Santarém;Região Tapajós
PA;15;1508357;Vitória do Xingu;Altamira;Região Xingu
PA;15;1506807;Santarém;Santarém;Região Baixo Amazonas
PA;15;1505502;Paragominas;Castanhal;Região Rio Capim
PA;15;1504208;Marabá;Marabá;Região Carajás
PA;15;1502905;Curuçá;Castanhal;Região Guamá
